timestamp,temperature,humidity,light,noise
2026-04-13T06:36:47Z,32.70000,54.40000,0,20.83856
2026-04-13T06:37:10Z,32.70000,54.20000,0,21.68207
2026-04-13T06:37:32Z,32.70000,54.10000,0,22.87183
2026-04-13T06:37:55Z,32.70000,54.00000,0,23.25132
2026-04-13T06:38:18Z,32.70000,53.60000,0,21.32890
2026-04-13T06:38:40Z,32.70000,53.50000,0,23.80017
2026-04-13T06:39:03Z,32.70000,53.70000,0,14.42398
2026-04-13T06:39:26Z,32.60000,53.30000,0,14.10741
2026-04-13T06:39:49Z,32.60000,53.30000,0,18.78129
2026-04-13T06:40:11Z,32.60000,53.30000,0,19.78324
2026-04-13T06:40:34Z,32.60000,53.50000,0,18.24924
2026-04-13T06:40:57Z,32.60000,53.40000,0,19.72921
2026-04-13T06:41:19Z,32.50000,53.40000,0,17.53865
2026-04-13T06:41:42Z,32.50000,53.50000,0,16.69370
2026-04-13T06:42:04Z,32.40000,53.50000,0,18.42492
2026-04-13T06:42:27Z,32.50000,53.50000,0,17.18171
2026-04-13T06:42:49Z,32.40000,53.50000,0,20.35962
2026-04-13T06:43:11Z,32.40000,53.50000,0,16.71663
2026-04-13T06:43:34Z,32.40000,53.70000,0,16.37575
2026-04-13T06:43:58Z,32.40000,53.80000,0,17.78059
2026-04-13T06:46:41Z,32.4,53.7,0.0,19.11827
2026-04-13T06:47:51Z,32.5,53.4,0.0,19.70224
2026-04-13T06:48:14Z,32.5,53.6,0.0,17.08771
2026-04-13T06:48:36Z,32.5,53.5,0.0,20.35962
2026-04-13T06:48:59Z,32.5,53.5,0.0,17.15816
2026-04-13T06:49:21Z,32.5,53.7,0.0,19.86457
2026-04-13T06:49:44Z,32.5,53.7,0.0,18.70436
2026-04-13T06:50:06Z,32.5,53.8,0.0,16.04148
2026-04-13T06:50:29Z,32.5,53.9,0.0,19.56799
2026-04-13T06:50:29Z,32.5,53.9,0.0,19.56799
2026-04-13T06:50:51Z,32.5,53.9,0.0,19.14444
2026-04-13T06:51:14Z,32.5,53.9,0.0,17.11116
2026-04-13T06:51:37Z,32.5,53.9,0.0,17.8538
2026-04-13T06:51:59Z,32.6,53.9,0.0,18.39973
2026-04-13T07:05:46Z,32.5,51.9,0.0,16.466
2026-04-13T07:06:08Z,32.5,51.8,0.0,9.11888
2026-04-13T07:06:08Z,32.5,51.8,0.0,9.11888
2026-04-13T07:06:31Z,32.5,51.8,0.0,11.49408
2026-04-13T07:06:55Z,32.5,51.8,0.0,9.26797
2026-04-13T07:07:18Z,32.5,51.5,0.0,9.67052
2026-04-13T07:07:40Z,32.5,51.6,0.0,11.9424
2026-04-13T07:08:03Z,32.5,51.3,0.0,12.01009
2026-04-13T07:08:25Z,32.5,51.2,0.0,14.34423
2026-04-13T07:08:47Z,32.6,51.1,0.0,13.89346
2026-04-13T07:08:47Z,32.6,51.1,0.0,13.89346
2026-04-13T07:09:10Z,32.6,50.9,0.0,10.85654
